1743471171.339	0.00	0.00	0.00	0.00	0.00	0.00
1743471172.021	0.00	0.00	0.00	0.00	0.00	0.00
1743473508.796	0.00	0.00	0.00	0.00	0.00	0.00
1743473514.832	-0.00	-0.02	-9.80	0.25	-0.12	-0.08
1743473524.665	0.02	0.05	-9.83	-0.11	-0.09	0.08
1743473525.674	-0.04	0.01	-9.83	-0.02	-0.05	-0.16
1743473525.926	-0.01	-0.02	-9.85	0.08	0.11	0.15
1743473526.178	0.03	-0.00	-9.80	0.10	-0.25	-0.03
1743473526.432	0.03	0.02	-9.82	-0.06	-0.01	0.07
1743473526.682	0.01	0.00	-9.76	0.02	0.02	0.11
1743473526.934	0.02	0.00	-9.81	0.14	-0.13	-0.02
1743473527.187	-0.03	-0.03	-9.80	-0.05	-0.07	0.12
1743473529.710	0.01	0.00	-9.82	0.14	-0.11	0.00
1743473819.910	0.02	-0.03	-9.77	0.02	0.10	-0.13
1743473840.583	0.00	0.06	-9.84	0.05	-0.09	0.21
1743474692.886	0.02	-0.83	-9.64	9.77	-0.47	-0.49
1743474693.836	-0.13	-0.01	-10.16	6.73	-1.23	-0.40
1743475114.457	0.06	0.04	-9.82	0.04	0.07	-0.10
1743475250.839	-0.02	-0.02	-9.78	0.06	-0.21	0.07
1743475410.499	0.17	-0.15	-9.84	0.20	0.01	0.19
1743475836.214	0.00	0.02	-9.84	-0.05	-0.08	0.10
1743476347.476	-4.20	-1.47	-13.23	-16.05	22.19	-2.80
1743476347.620	-4.21	-4.95	-14.20	-61.25	13.90	119.18
1743476347.818	-3.56	-7.34	-14.50	-38.72	-31.81	6.91
1743476348.039	-2.39	-2.50	-14.85	29.95	65.48	-91.00
1743476348.289	-3.73	-1.91	-12.75	-39.92	26.25	48.30
1743476364.399	-0.93	-1.25	-12.85	18.40	69.22	-85.11
1743476364.719	-3.67	-5.27	-13.80	-33.61	-26.95	118.07
1743476365.042	-3.57	-8.46	-14.96	-20.36	37.60	-4.71
1743527563.582	2.90	10.34	-17.18	12.23	-6.58	-4.38
1743527912.137	0.77	1.65	-9.35	150.73	57.19	-114.13
1743527912.330	1.13	0.35	-9.60	-30.83	-0.96	52.22
1743527912.687	2.23	3.23	-8.69	-91.32	-38.76	32.02
1743527913.998	1.96	8.08	-8.71	-19.13	85.15	33.43
1743527916.723	0.90	-1.93	-11.10	33.38	27.79	-23.48
1743527917.162	0.67	9.15	-7.62	0.48	10.12	-46.87
1743530711.544	0.69	1.72	-7.87	-14.29	-20.40	72.95
1743530992.408	1.94	6.07	-6.54	61.13	45.65	-65.57
1743531146.262	1.37	1.90	-9.78	-56.21	-54.89	81.96
1743531148.484	-0.09	4.10	-9.04	5.36	16.72	11.06
1743531786.330	-0.55	-0.47	-10.31	-7.28	-20.10	-15.11
1743531797.751	-0.11	-0.21	-9.81	-0.94	-0.67	-0.25
1743531902.208	0.01	0.69	-9.83	2.47	-0.53	-0.34
1743532252.560	0.37	-3.25	-7.27	15.32	24.07	102.80
1743532409.140	-0.01	0.01	-9.85	0.18	-0.02	0.04
1743537733.559	0.00	0.00	0.00	0.00	0.00	0.00
